event_name,medal,medalist_name,medalist_wikidata_id,country_medal,delegation_name,sex_or_gender
archery at the 1988 Summer Olympics – men's individual,silver,Park Sung-Soo,Q562453,South Korea,South Korea at the 1988 Summer Olympics,male
archery at the 1988 Summer Olympics – men's team,gold,Park Sung-Soo,Q562453,South Korea,South Korea at the 1988 Summer Olympics,male
archery at the 1988 Summer Olympics – women's individual,silver,Wang Hee-Kyung,Q3135701,South Korea,South Korea at the 1988 Summer Olympics,female
archery at the 1988 Summer Olympics – women's individual,bronze,Yun Young-Sook,Q736092,South Korea,South Korea at the 1988 Summer Olympics,female
archery at the 1988 Summer Olympics – women's team,gold,Wang Hee-Kyung,Q3135701,South Korea,South Korea at the 1988 Summer Olympics,female
archery at the 1988 Summer Olympics – women's team,gold,Yun Young-Sook,Q736092,South Korea,South Korea at the 1988 Summer Olympics,female
athletics at the 1988 Summer Olympics – men's 3000 metres steeplechase,silver,Peter Koech,Q1365702,Kenya,Kenya at the 1988 Summer Olympics,male
athletics at the 1988 Summer Olympics – men's 4 × 400 metres relay,silver,Howard Davis,Q1631777,Jamaica,Jamaica at the 1988 Summer Olympics,male
athletics at the 1988 Summer Olympics – men's 4 × 400 metres relay,silver,Trevor Graham,Q1394546,Jamaica,Jamaica at the 1988 Summer Olympics,male
athletics at the 1988 Summer Olympics – men's 4 × 400 metres relay,silver,Howard Burnett,Q3141531,Jamaica,Jamaica at the 1988 Summer Olympics,male
boxing at the 1988 Summer Olympics – heavyweight,silver,Baik Hyun-Man,Q562860,South Korea,South Korea at the 1988 Summer Olympics,male
canoeing at the 1988 Summer Olympics – men's K-2 1000 metres,bronze,Peter Foster,Q3376577,Australia,Australia at the 1988 Summer Olympics,male
canoeing at the 1988 Summer Olympics – men's K-2 1000 metres,bronze,Kelvin Graham,Q3194954,Australia,Australia at the 1988 Summer Olympics,male
equestrian at the 1988 Summer Olympics – team dressage,silver,Otto Hofer,Q7109627,Switzerland,Switzerland at the 1988 Summer Olympics,male
equestrian at the 1988 Summer Olympics – team dressage,silver,Samuel Schatzmann,Q7412576,Switzerland,Switzerland at the 1988 Summer Olympics,male
gymnastics at the 1988 Summer Olympics – men's artistic team all-around,bronze,Koichi Mizushima,Q1150448,Japan,Japan at the 1988 Summer Olympics,male
gymnastics at the 1988 Summer Olympics – men's vault,bronze,Park Jong-hoon,Q1150848,South Korea,South Korea at the 1988 Summer Olympics,male
NA,silver,Beat Schwerzmann,Q683380,Switzerland,Switzerland at the 1988 Summer Olympics,male
NA,silver,Beat Schwerzmann,Q683380,Switzerland,Switzerland at the 1988 Summer Olympics,male
rowing at the 1988 Summer Olympics – men's double sculls,silver,Beat Schwerzmann,Q683380,Switzerland,Switzerland at the 1988 Summer Olympics,male
NA,bronze,Patrick Sweeney,Q7147701,United Kingdom,Great Britain at the 1988 Summer Olympics,male
NA,bronze,Patrick Sweeney,Q7147701,United Kingdom,Great Britain at the 1988 Summer Olympics,male
rowing at the 1988 Summer Olympics – men's coxed pair,bronze,Patrick Sweeney,Q7147701,United Kingdom,Great Britain at the 1988 Summer Olympics,male
NA,silver,Vasily Tikhonov,Q7916810,Soviet Union,Soviet Union at the 1988 Summer Olympics,male
NA,silver,Vasily Tikhonov,Q7916810,Soviet Union,Soviet Union at the 1988 Summer Olympics,male
rowing at the 1988 Summer Olympics – men's eight,silver,Vasily Tikhonov,Q7916810,Soviet Union,Soviet Union at the 1988 Summer Olympics,male
NA,silver,Zhang Xianghua,Q8070341,People's Republic of China,China at the 1988 Summer Olympics,female
NA,silver,Hu Yadong,Q13636765,People's Republic of China,China at the 1988 Summer Olympics,female
NA,silver,Yang Xiao,Q8048499,People's Republic of China,China at the 1988 Summer Olympics,female
NA,silver,Zhou Shouying,Q8071037,People's Republic of China,China at the 1988 Summer Olympics,female
NA,silver,Li Ronghua,Q6539038,People's Republic of China,China at the 1988 Summer Olympics,female
NA,silver,Zhang Xianghua,Q8070341,People's Republic of China,China at the 1988 Summer Olympics,female
NA,silver,Hu Yadong,Q13636765,People's Republic of China,China at the 1988 Summer Olympics,female
NA,silver,Yang Xiao,Q8048499,People's Republic of China,China at the 1988 Summer Olympics,female
NA,silver,Zhou Shouying,Q8071037,People's Republic of China,China at the 1988 Summer Olympics,female
NA,silver,Li Ronghua,Q6539038,People's Republic of China,China at the 1988 Summer Olympics,female
rowing at the 1988 Summer Olympics – women's coxed four,silver,Zhang Xianghua,Q8070341,People's Republic of China,China at the 1988 Summer Olympics,female
rowing at the 1988 Summer Olympics – women's coxed four,silver,Hu Yadong,Q13636765,People's Republic of China,China at the 1988 Summer Olympics,female
rowing at the 1988 Summer Olympics – women's coxed four,silver,Yang Xiao,Q8048499,People's Republic of China,China at the 1988 Summer Olympics,female
rowing at the 1988 Summer Olympics – women's coxed four,silver,Zhou Shouying,Q8071037,People's Republic of China,China at the 1988 Summer Olympics,female
rowing at the 1988 Summer Olympics – women's coxed four,silver,Li Ronghua,Q6539038,People's Republic of China,China at the 1988 Summer Olympics,female
NA,bronze,Zhou Xiuhua,Q8071063,People's Republic of China,China at the 1988 Summer Olympics,female
NA,bronze,Zhang Yali,Q8070375,People's Republic of China,China at the 1988 Summer Olympics,female
NA,bronze,He Yanwen,Q5689018,People's Republic of China,China at the 1988 Summer Olympics,female
NA,bronze,Han Yaqin,Q5646707,People's Republic of China,China at the 1988 Summer Olympics,female
NA,bronze,Zhou Xiuhua,Q8071063,People's Republic of China,China at the 1988 Summer Olympics,female
NA,bronze,Zhang Yali,Q8070375,People's Republic of China,China at the 1988 Summer Olympics,female
NA,bronze,He Yanwen,Q5689018,People's Republic of China,China at the 1988 Summer Olympics,female
NA,bronze,Han Yaqin,Q5646707,People's Republic of China,China at the 1988 Summer Olympics,female
NA,bronze,Zhang Xianghua,Q8070341,People's Republic of China,China at the 1988 Summer Olympics,female
NA,bronze,Zhou Shouying,Q8071037,People's Republic of China,China at the 1988 Summer Olympics,female
NA,bronze,Yang Xiao,Q8048499,People's Republic of China,China at the 1988 Summer Olympics,female
NA,bronze,Hu Yadong,Q13636765,People's Republic of China,China at the 1988 Summer Olympics,female
NA,bronze,Li Ronghua,Q6539038,People's Republic of China,China at the 1988 Summer Olympics,female
rowing at the 1988 Summer Olympics – women's eight,bronze,Zhou Xiuhua,Q8071063,People's Republic of China,China at the 1988 Summer Olympics,female
rowing at the 1988 Summer Olympics – women's eight,bronze,Zhang Yali,Q8070375,People's Republic of China,China at the 1988 Summer Olympics,female
rowing at the 1988 Summer Olympics – women's eight,bronze,He Yanwen,Q5689018,People's Republic of China,China at the 1988 Summer Olympics,female
rowing at the 1988 Summer Olympics – women's eight,bronze,Han Yaqin,Q5646707,People's Republic of China,China at the 1988 Summer Olympics,female
rowing at the 1988 Summer Olympics – women's eight,bronze,Zhang Xianghua,Q8070341,People's Republic of China,China at the 1988 Summer Olympics,female
rowing at the 1988 Summer Olympics – women's eight,bronze,Zhou Shouying,Q8071037,People's Republic of China,China at the 1988 Summer Olympics,female
rowing at the 1988 Summer Olympics – women's eight,bronze,Yang Xiao,Q8048499,People's Republic of China,China at the 1988 Summer Olympics,female
rowing at the 1988 Summer Olympics – women's eight,bronze,Hu Yadong,Q13636765,People's Republic of China,China at the 1988 Summer Olympics,female
