medalist_wikidata_id,medalist_link,medalist_name,medal,delegation_wikidata_id,delegation_link,delegation_name,country_medal_wikidata_id,country_medal,country_medal_code2,country_medal_code3,country_medal_ioc_country_code,country_medal_NUTS_code,date_of_birth,place_of_birth_wikidata_id,place_of_birth,place_of_birth_located_in_wikidata_id,place_of_birth_located_in,place_of_birth_coordinates,lat,lon,sex_or_gender_wikidata_id,sex_or_gender,event_wikidata_id,event_link,event_name,event_part_of_wikidata_id,event_part_of,event_sport_wikidata_id,event_sport,event_part_of_sport_wikidata_id,event_part_of_sport,sport_wikidata_id,sport,nuts1_id,nuts1_name,nuts2_id,nuts2_name,nuts3_id,nuts3_name,nuts2_population,nuts3_population,nuts2_gdp,nuts3_gdp,nuts0_id,nuts0_name
Q20988356,https://en.wikipedia.org/wiki/Mete_Gazoz,Mete Gazoz,gold,Q42914036,https://en.wikipedia.org/wiki/Turkey_at_the_2020_Summer_Olympics,Turkey at the 2020 Summer Olympics,Q43,Turkey,TR,TUR,TUR,TR,1999-06-08,Q406,Istanbul,Q534799,Istanbul Province,"41.01,28.960277777778",41.01,28.960277777778,Q6581097,male,Q63985823,https://en.wikipedia.org/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_individual,archery at the 2020 Summer Olympics – men's individual,Q32951792,archery at the 2020 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q670425,https://en.wikipedia.org/wiki/Mauro_Nespoli,Mauro Nespoli,silver,Q42914554,https://en.wikipedia.org/wiki/Italy_at_the_2020_Summer_Olympics,Italy at the 2020 Summer Olympics,Q38,Italy,IT,ITA,ITA,IT,1987-11-22,Q39981,Voghera,Q16231,Province of Pavia,"44.9925,9.0091666666667",44.9925,9.0091666666667,Q6581097,male,Q63985823,https://en.wikipedia.org/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_individual,archery at the 2020 Summer Olympics – men's individual,Q32951792,archery at the 2020 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,ITC,Nord-Ovest,ITC4,Lombardia,ITC48,Pavia,9976509,536406,439986.38,14194.76,IT,Italy
Q276094,https://en.wikipedia.org/wiki/Takaharu_Furukawa,Takaharu Furukawa,bronze,Q42914581,https://en.wikipedia.org/wiki/Japan_at_the_2020_Summer_Olympics,Japan at the 2020 Summer Olympics,Q17,Japan,JP,JPN,JPN,NA,1984-08-09,Q146790,Aomori,Q71699,Aomori Prefecture,"40.8227777777778,140.746944444444",40.8227777777778,140.746944444444,Q6581097,male,Q63985823,https://en.wikipedia.org/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_individual,archery at the 2020 Summer Olympics – men's individual,Q32951792,archery at the 2020 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q11739253,https://en.wikipedia.org/wiki/Kim_Woo-jin_(archer),Kim Woo-jin,gold,Q42913884,https://en.wikipedia.org/wiki/South_Korea_at_the_2020_Summer_Olympics,South Korea at the 2020 Summer Olympics,Q884,South Korea,KR,KOR,KOR,NA,1992-06-20,Q50309,Okcheon County,Q41066,North Chungcheong,"36.300833333333,127.56861111111",36.300833333333,127.56861111111,Q6581097,male,Q63985811,https://en.wikipedia.org/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_team,archery at the 2020 Summer Olympics – men's team,Q32951792,archery at the 2020 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q488908,https://en.wikipedia.org/wiki/Oh_Jin-hyek,Oh Jin-hyek,gold,Q42913884,https://en.wikipedia.org/wiki/South_Korea_at_the_2020_Summer_Olympics,South Korea at the 2020 Summer Olympics,Q884,South Korea,KR,KOR,KOR,NA,1981-08-15,Q42088,Nonsan,Q41070,South Chungcheong,"36.203888888889,127.08472222222",36.203888888889,127.08472222222,Q6581097,male,Q63985811,https://en.wikipedia.org/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_team,archery at the 2020 Summer Olympics – men's team,Q32951792,archery at the 2020 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q107619893,https://en.wikipedia.org/wiki/Kim_Je-deok,Kim Je-deok,gold,Q42913884,https://en.wikipedia.org/wiki/South_Korea_at_the_2020_Summer_Olympics,South Korea at the 2020 Summer Olympics,Q884,South Korea,KR,KOR,KOR,NA,2004-04-12,Q41154,North Gyeongsang,Q884,South Korea,"36.25,128.75",36.25,128.75,Q6581097,male,Q63985811,https://en.wikipedia.org/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_team,archery at the 2020 Summer Olympics – men's team,Q32951792,archery at the 2020 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q107620836,https://en.wikipedia.org/wiki/Deng_Yu-cheng,Deng Yu-Cheng,silver,Q42913844,https://en.wikipedia.org/wiki/Chinese_Taipei_at_the_2020_Summer_Olympics,Chinese Taipei at the 2020 Summer Olympics,Q216923,Chinese Taipei,NA,NA,TPE,NA,1999-04-25,Q1867,Taipei,Q865,Taiwan,"25.0375,121.5625",25.0375,121.5625,Q6581097,male,Q63985811,https://en.wikipedia.org/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_team,archery at the 2020 Summer Olympics – men's team,Q32951792,archery at the 2020 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q56447903,https://en.wikipedia.org/wiki/Tang_Chih-chun,Tang Chih-Chun,silver,Q42913844,https://en.wikipedia.org/wiki/Chinese_Taipei_at_the_2020_Summer_Olympics,Chinese Taipei at the 2020 Summer Olympics,Q216923,Chinese Taipei,NA,NA,TPE,NA,2001-03-16,Q24287568,Taipei County,Q32081,Taiwan Province,"25.0111111111111,121.445830555556",25.0111111111111,121.445830555556,Q6581097,male,Q63985811,https://en.wikipedia.org/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_team,archery at the 2020 Summer Olympics – men's team,Q32951792,archery at the 2020 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q23770477,https://en.wikipedia.org/wiki/Wei_Chun-heng,Wei Chun-Heng,silver,Q42913844,https://en.wikipedia.org/wiki/Chinese_Taipei_at_the_2020_Summer_Olympics,Chinese Taipei at the 2020 Summer Olympics,Q216923,Chinese Taipei,NA,NA,TPE,NA,1994-07-06,Q1867,Taipei,Q865,Taiwan,"25.0375,121.5625",25.0375,121.5625,Q6581097,male,Q63985811,https://en.wikipedia.org/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_team,archery at the 2020 Summer Olympics – men's team,Q32951792,archery at the 2020 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q276094,https://en.wikipedia.org/wiki/Takaharu_Furukawa,Takaharu Furukawa,bronze,Q42914581,https://en.wikipedia.org/wiki/Japan_at_the_2020_Summer_Olympics,Japan at the 2020 Summer Olympics,Q17,Japan,JP,JPN,JPN,NA,1984-08-09,Q146790,Aomori,Q71699,Aomori Prefecture,"40.8227777777778,140.746944444444",40.8227777777778,140.746944444444,Q6581097,male,Q63985811,https://en.wikipedia.org/wiki/Archery_at_the_2020_Summer_Olympics_%E2%80%93_Men%27s_team,archery at the 2020 Summer Olympics – men's team,Q32951792,archery at the 2020 Summer Olympics,Q108429,archery,Q108429,archery,Q108429,archery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
