event_name,medal,medalist_name,medalist_wikidata_id,country_medal,delegation_name,sex_or_gender
Archery at the 2024 Summer Olympics – Men's team,silver,Baptiste Addis,Q125903239,France,France at the 2024 Summer Olympics,male
basketball at the 2024 Summer Olympics – men's 3x3 tournament,silver,Franck Seguela,Q112731348,France,France at the 2024 Summer Olympics,male
Canoeing at the 2024 Summer Olympics – Men's slalom C-1,gold,Nicolas Gestin,Q104470593,France,France at the 2024 Summer Olympics,male
field hockey at the 2024 Summer Olympics – men's tournament,silver,Malte Hellwig,Q111830837,Germany,Germany at the 2024 Summer Olympics,male
field hockey at the 2024 Summer Olympics – men's tournament,silver,Moritz Ludwig,Q114771116,Germany,Germany at the 2024 Summer Olympics,male
field hockey at the 2024 Summer Olympics – women's tournament,gold,Joosje Burg,Q112673059,Netherlands,Netherlands at the 2024 Summer Olympics,female
rowing at the 2024 Summer Olympics – men's double sculls,bronze,Daire Lynch,Q100895363,Republic of Ireland,Ireland at the 2024 Summer Olympics,male
rowing at the 2024 Summer Olympics – men's four,bronze,Oliver Wilkes,Q118766146,United Kingdom,Great Britain at the 2024 Summer Olympics,male
rowing at the 2024 Summer Olympics – men's four,bronze,David Ambler,Q114173034,United Kingdom,Great Britain at the 2024 Summer Olympics,male
rowing at the 2024 Summer Olympics – men's four,bronze,Matthew Aldridge,Q113588141,United Kingdom,Great Britain at the 2024 Summer Olympics,male
rowing at the 2024 Summer Olympics – men's four,bronze,Freddie Davidson,Q113630657,United Kingdom,Great Britain at the 2024 Summer Olympics,male
rowing at the 2024 Summer Olympics – men's eight,gold,Thomas Digby,Q113918902,United Kingdom,Great Britain at the 2024 Summer Olympics,male
rowing at the 2024 Summer Olympics – men's lightweight double sculls,bronze,Antonios Papakonstantinou,Q56611831,Greece,Greece at the 2024 Summer Olympics,male
rowing at the 2024 Summer Olympics – women's quadruple sculls,gold,Lola Anderson,Q113577774,United Kingdom,Great Britain at the 2024 Summer Olympics,female
rowing at the 2024 Summer Olympics – women's eight,bronze,Eve Stewart,Q125705013,United Kingdom,Great Britain at the 2024 Summer Olympics,female
triathlon at the 2024 Summer Olympics,gold,Lasse Lührs,Q47485334,Germany,Germany at the 2024 Summer Olympics,male
