event_link,medal,medalist_link,delegation_link,medalist_wikidata_id,event_wikidata_id,delegation_wikidata_id
https://en.wikipedia.org/wiki/Archery_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_individual,gold,https://en.wikipedia.org/wiki/Marco_Galiazzo,https://en.wikipedia.org/wiki/Italy_at_the_2004_Summer_Olympics,Q350019,Q1408290,Q595776
https://en.wikipedia.org/wiki/Archery_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_individual,silver,https://en.wikipedia.org/wiki/Hiroshi_Yamamoto_(archer),https://en.wikipedia.org/wiki/Japan_at_the_2004_Summer_Olympics,Q460832,Q1408290,Q736509
https://en.wikipedia.org/wiki/Archery_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_individual,bronze,https://en.wikipedia.org/wiki/Tim_Cuddihy,https://en.wikipedia.org/wiki/Australia_at_the_2004_Summer_Olympics,Q3035788,Q1408290,Q141867
https://en.wikipedia.org/wiki/Archery_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_team,gold,https://en.wikipedia.org/wiki/Im_Dong-Hyun,https://en.wikipedia.org/wiki/South_Korea_at_the_2004_Summer_Olympics,Q314086,Q1408300,Q485867
https://en.wikipedia.org/wiki/Archery_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_team,gold,https://en.wikipedia.org/wiki/Jang_Yong-Ho,https://en.wikipedia.org/wiki/South_Korea_at_the_2004_Summer_Olympics,Q495002,Q1408300,Q485867
https://en.wikipedia.org/wiki/Archery_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_team,gold,https://en.wikipedia.org/wiki/Park_Kyung-Mo,https://en.wikipedia.org/wiki/South_Korea_at_the_2004_Summer_Olympics,Q495207,Q1408300,Q485867
https://en.wikipedia.org/wiki/Archery_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_team,silver,https://en.wikipedia.org/wiki/Chen_Szu-yuan,https://en.wikipedia.org/wiki/Chinese_Taipei_at_the_2004_Summer_Olympics,Q401604,Q1408300,Q704349
https://en.wikipedia.org/wiki/Archery_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_team,silver,https://en.wikipedia.org/wiki/Liu_Ming-huang,https://en.wikipedia.org/wiki/Chinese_Taipei_at_the_2004_Summer_Olympics,Q401597,Q1408300,Q704349
https://en.wikipedia.org/wiki/Archery_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_team,silver,https://en.wikipedia.org/wiki/Wang_Cheng-pang,https://en.wikipedia.org/wiki/Chinese_Taipei_at_the_2004_Summer_Olympics,Q402027,Q1408300,Q704349
https://en.wikipedia.org/wiki/Archery_at_the_2004_Summer_Olympics_%E2%80%93_Men%27s_team,bronze,https://en.wikipedia.org/wiki/Dmytro_Hrachov,https://en.wikipedia.org/wiki/Ukraine_at_the_2004_Summer_Olympics,Q1658676,Q1408300,Q1076818
